"X" "Y" "full_id" "building" "nvol"
10.3228997 44.7854008 "w179476453" "Abitazioni" 30
10.3416456 44.8260836 "w182153317" "Abitazioni" 30
10.331053 44.7693267 "w649584390" "Abitazioni" 36
10.3380164 44.7995744 "w1178564274" "Abitazioni" 30
10.2874967 44.8044155 "w649667859" "Abitazioni" 32
10.3120074 44.8093543 "w179059707" "Abitazioni" 32
10.3006819 44.7962318 "w179585846" "Abitazioni" 32
10.3628555 44.7874893 "w179469215" "Abitazioni" 30
10.332584 44.806149 "w182137948" "Abitazioni" 32
10.3347583 44.8097432 "w182138106" "Abitazioni" 34
10.3298713 44.7697315 "w179474995" "Abitazioni" 34
10.3490089 44.7941568 "w179585831" "Abitazioni" 30
10.3526924 44.7900948 "w179098912" "Abitazioni" 30
10.3361213 44.802918 "w179587710" "Abitazioni" 30
10.2967185 44.7936253 "w179471223" "Abitazioni" 30
10.3230771 44.7861559 "w179477367" "Abitazioni" 30
10.3330688 44.7900199 "w1174628877" "Abitazioni" 40
10.3301954 44.7943326 "w1179950870" "Abitazioni" 30
10.340903 44.8074061 "w182136622" "Abitazioni" 30
10.3330816 44.8149381 "w182121261" "Abitazioni" 32
10.316637 44.8040089 "w179584850" "Abitazioni" 32
10.3538493 44.770612 "r7898826" "Abitazioni" 30
10.3119963 44.7989443 "w179587154" "Abitazioni" 34
10.335075 44.7893391 "w1182189687" "Abitazioni" 32
10.3263044 44.7971574 "r2398233" "Abitazioni" 32
10.3071059 44.8070153 "w179059461" "Abitazioni" 38
10.3555976 44.7920773 "w179098945" "Abitazioni" 38
10.3377747 44.8036757 "w182137363" "Abitazioni" 32
10.3184573 44.7969168 "w179585610" "Abitazioni" 34
10.3377898 44.7996082 "w1178564289" "Abitazioni" 30
10.2993729 44.8009781 "w179585703" "Abitazioni" 30
10.317474 44.7937951 "w179587603" "Abitazioni" 30
10.3817149 44.8073353 "w205209953" "Abitazioni" 30
10.3309736 44.794493 "w1179950858" "Abitazioni" 30
