Index,FTSEMIB.MI.Open,FTSEMIB.MI.High,FTSEMIB.MI.Low,FTSEMIB.MI.Close,FTSEMIB.MI.Volume,FTSEMIB.MI.Adjusted
3/01/2000,41226,41226,41226,41226,0,41226
4/01/2000,40314,40314,40314,40314,0,40314
5/01/2000,39452,39452,39452,39452,0,39452
6/01/2000,38835,38835,38835,38835,0,38835
7/01/2000,40194,40194,40194,40194,0,40194
10/01/2000,39711,39711,39711,39711,0,39711
11/01/2000,39870,39870,39870,39870,0,39870
12/01/2000,40289,40289,40289,40289,0,40289
13/01/2000,40499,40499,40499,40499,0,40499
14/01/2000,41588,41588,41588,41588,0,41588
17/01/2000,41546,41546,41546,41546,0,41546
18/01/2000,41109,41109,41109,41109,0,41109
19/01/2000,41436,41436,41436,41436,0,41436
20/01/2000,41690,41690,41690,41690,0,41690
21/01/2000,41702,41702,41702,41702,0,41702
24/01/2000,42012,42012,42012,42012,0,42012
25/01/2000,41165,41165,41165,41165,0,41165
26/01/2000,41361,41361,41361,41361,0,41361
27/01/2000,41939,41939,41939,41939,0,41939
28/01/2000,41854,41854,41854,41854,0,41854
31/01/2000,41463,41463,41463,41463,0,41463
1/02/2000,42403,42403,42403,42403,0,42403
2/02/2000,42993,42993,42993,42993,0,42993
3/02/2000,43889,43889,43889,43889,0,43889
4/02/2000,44091,44091,44091,44091,0,44091
7/02/2000,43730,43730,43730,43730,0,43730
8/02/2000,45150,45150,45150,45150,0,45150
9/02/2000,45101,45101,45101,45101,0,45101
10/02/2000,45785,45785,45785,45785,0,45785
11/02/2000,46878,46878,46878,46878,0,46878
14/02/2000,47395,47395,47395,47395,0,47395
15/02/2000,45726,45726,45726,45726,0,45726
16/02/2000,46446,46446,46446,46446,0,46446
17/02/2000,46807,46807,46807,46807,0,46807
18/02/2000,46602,46602,46602,46602,0,46602
21/02/2000,46014,46014,46014,46014,0,46014
22/02/2000,46034,46034,46034,46034,0,46034
23/02/2000,47134,47134,47134,47134,0,47134
24/02/2000,46907,46907,46907,46907,0,46907
25/02/2000,48235,48235,48235,48235,0,48235
28/02/2000,47747,47747,47747,47747,0,47747
29/02/2000,48479,48479,48479,48479,0,48479
1/03/2000,48676,48676,48676,48676,0,48676
2/03/2000,49464,49464,49464,49464,0,49464
3/03/2000,49169,49169,49169,49169,0,49169
6/03/2000,50109,50109,50109,50109,0,50109
7/03/2000,48925,48925,48925,48925,0,48925
8/03/2000,48810,48810,48810,48810,0,48810
9/03/2000,49233,49233,49233,49233,0,49233
10/03/2000,49355,49355,49355,49355,0,49355
13/03/2000,48208,48208,48208,48208,0,48208
14/03/2000,48181,48181,48181,48181,0,48181
15/03/2000,46692,46692,46692,46692,0,46692
16/03/2000,47485,47485,47485,47485,0,47485
17/03/2000,48125,48125,48125,48125,0,48125
20/03/2000,47354,47354,47354,47354,0,47354
21/03/2000,46756,46756,46756,46756,0,46756
22/03/2000,45921,45921,45921,45921,0,45921
23/03/2000,45938,45938,45938,45938,0,45938
24/03/2000,47258,47258,47258,47258,0,47258
27/03/2000,47051,47051,47051,47051,0,47051
28/03/2000,46827,46827,46827,46827,0,46827
29/03/2000,46839,46839,46839,46839,0,46839
30/03/2000,45616,45616,45616,45616,0,45616
31/03/2000,45392,45392,45392,45392,0,45392
3/04/2000,44218,44218,44218,44218,0,44218
4/04/2000,44987,44987,44987,44987,0,44987
5/04/2000,43815,43815,43815,43815,0,43815
6/04/2000,45060,45060,45060,45060,0,45060
7/04/2000,45275,45275,45275,45275,0,45275
10/04/2000,45206,45206,45206,45206,0,45206
11/04/2000,44123,44123,44123,44123,0,44123
12/04/2000,44511,44511,44511,44511,0,44511
13/04/2000,44616,44616,44616,44616,0,44616
14/04/2000,43449,43449,43449,43449,0,43449
17/04/2000,42651,42651,42651,42651,0,42651
18/04/2000,43003,43003,43003,43003,0,43003
19/04/2000,43061,43061,43061,43061,0,43061
20/04/2000,44077,44077,44077,44077,0,44077
21/04/2000,44077,44077,44077,44077,0,44077
24/04/2000,44077,44077,44077,44077,0,44077
25/04/2000,44621,44621,44621,44621,0,44621
26/04/2000,44606,44606,44606,44606,0,44606
27/04/2000,44206,44206,44206,44206,0,44206
28/04/2000,44801,44801,44801,44801,0,44801
1/05/2000,44801,44801,44801,44801,0,44801
2/05/2000,46168,46168,46168,46168,0,46168
3/05/2000,45226,45226,45226,45226,0,45226
4/05/2000,45968,45968,45968,45968,0,45968
5/05/2000,45980,45980,45980,45980,0,45980
